t[s] Q_i200[m^3/s]
0.2000 0.000000
0.4000 0.000000
0.6000 0.000000
0.8000 0.000000
1.0000 0.000000
1.2000 0.000000
1.4000 0.000000
1.6000 0.000000
1.8000 0.000000
2.0000 0.000000
2.2000 0.000000
2.4000 0.000000
2.6000 0.000000
2.8000 0.000000
3.0000 0.000000
3.2000 0.000000
3.4000 0.000000
3.6000 0.000000
3.8000 0.000000
4.0000 0.000000
4.2000 0.000000
4.4000 0.000000
4.6000 0.000000
4.8000 0.000000
5.0000 0.000000
5.2000 0.000000
5.4000 0.000000
5.6000 0.000000
5.8000 0.000000
6.0000 0.000000
6.2000 0.000000
6.4000 0.000000
6.6000 0.000000
6.8000 0.000000
7.0000 0.000000
7.2000 0.000000
7.4000 0.000000
7.6000 0.000000
7.8000 0.000000
8.0000 0.000000
8.2000 0.000000
8.4000 0.000000
8.6000 0.000000
8.8000 0.000000
9.0000 0.000000
9.2000 0.000000
9.4000 0.000000
9.6000 0.000000
9.8000 0.000000
10.0000 0.000000
10.2000 0.000000
10.4000 0.000000
10.6000 0.000000
10.8000 0.000000
11.0000 0.000000
11.2000 0.000000
11.4000 0.000000
11.6000 0.000000
11.8000 0.000000
12.0000 0.000000
12.2000 0.000000
12.4000 0.000000
12.6000 0.000000
12.8000 0.000000
13.0000 0.000000
13.2000 0.000000
13.4000 0.000000
13.6000 0.000000
13.8000 0.000000
14.0000 0.000000
14.2000 0.000000
14.4000 0.000000
14.6000 0.000000
14.8000 0.000000
15.0000 0.000000
15.2000 0.000000
15.4000 0.000000
15.6000 0.000000
15.8000 0.000000
16.0000 0.000000
16.2000 0.000000
16.4000 0.000000
16.6000 0.000000
16.8000 0.000000
17.0000 0.000000
17.2000 0.000000
17.4000 0.000000
17.6000 0.000000
17.8000 0.000000
18.0000 0.000000
18.2000 0.000000
18.4000 0.000000
18.6000 0.000000
18.8000 0.000000
19.0000 0.000000
19.2000 0.000000
19.4000 0.000000
19.6000 0.000000
19.8000 0.000000
20.0000 0.000000
20.2000 0.000000
20.4000 0.000000
20.6000 0.000000
20.8000 0.000000
21.0000 0.000000
21.2000 0.000000
21.4000 0.000000
21.6000 0.000000
21.8000 0.000000
22.0000 0.000000
22.2000 0.000000
22.4000 0.000000
22.6000 0.000000
22.8000 0.000000
23.0000 0.000000
23.2000 0.000000
23.4000 0.000000
23.6000 0.000000
23.8000 0.000000
24.0000 0.000000
24.2000 0.000000
24.4000 0.000000
24.6000 0.000000
24.8000 0.000000
25.0000 0.000000
25.2000 0.000000
25.4000 0.000000
25.6000 0.000000
25.8000 0.000000
26.0000 0.000000
26.2000 0.000000
26.4000 0.000000
26.6000 0.000000
26.8000 0.000000
27.0000 0.000000
27.2000 0.000000
27.4000 0.000000
27.6000 0.000000
27.8000 0.000000
28.0000 0.000000
28.2000 0.000000
28.4000 0.000000
28.6000 0.000000
28.8000 0.000000
29.0000 0.000000
29.2000 0.000000
29.4000 0.000000
29.6000 0.000000
29.8000 0.000000
30.0000 0.000000
30.2000 0.000000
30.4000 0.000000
30.6000 0.000000
30.8000 0.000000
31.0000 0.000000
31.2000 0.000000
31.4000 0.000000
31.6000 0.000000
31.8000 0.000000
32.0000 0.000000
32.2000 0.000000
32.4000 0.000000
32.6000 0.000000
32.8000 0.000000
33.0000 0.000000
33.2000 0.000000
33.4000 0.000000
33.6000 0.000000
33.8000 0.000000
34.0000 0.000000
34.2000 0.000000
34.4000 0.000000
34.6000 0.000000
34.8000 0.000000
35.0000 0.000000
35.2000 0.000000
35.4000 0.000000
35.6000 0.000000
35.8000 0.000000
36.0000 0.000000
36.2000 0.000000
36.4000 0.000000
36.6000 0.000000
36.8000 0.000000
37.0000 0.000000
37.2000 0.000000
37.4000 0.000000
37.6000 0.000000
37.8000 0.000000
38.0000 0.000000
38.2000 0.000000
38.4000 0.000000
38.6000 0.000000
38.8000 0.000000
39.0000 0.000000
39.2000 0.000000
39.4000 0.000000
39.6000 0.000000
39.8000 0.000000
40.0000 0.000000
40.2000 0.000000
40.4000 0.000000
40.6000 0.000000
40.8000 0.000000
41.0000 0.000000
41.2000 0.000000
41.4000 0.000000
41.6000 0.000000
41.8000 0.000000
42.0000 0.000000
42.2000 0.000000
42.4000 0.000000
42.6000 0.000000
42.8000 0.000000
43.0000 0.000000
43.2000 0.000000
43.4000 0.000000
43.6000 0.000000
43.8000 0.000000
44.0000 0.000000
44.2000 0.000000
44.4000 0.000000
44.6000 0.000000
44.8000 0.000000
45.0000 0.000000
45.2000 0.000000
45.4000 0.000000
45.6000 0.000000
45.8000 0.000000
46.0000 0.000000
46.2000 0.000000
46.4000 0.000000
46.6000 0.000000
46.8000 0.000000
47.0000 0.000000
47.2000 0.000000
47.4000 0.000000
47.6000 0.000000
47.8000 0.000000
48.0000 0.000000
48.2000 0.000000
48.4000 0.000000
48.6000 0.000000
48.8000 0.000000
49.0000 0.000000
49.2000 0.000000
49.4000 0.000000
49.6000 0.000000
49.8000 0.000000
50.0000 0.000000
50.2000 0.000000
50.4000 0.000000
50.6000 0.000000
50.8000 0.000000
51.0000 0.000000
51.2000 0.000000
51.4000 0.000000
51.6000 0.000000
51.8000 0.000000
52.0000 0.000000
52.2000 0.000000
52.4000 0.000000
52.6000 0.000000
52.8000 0.000000
53.0000 0.000000
53.2000 0.000000
53.4000 0.000000
53.6000 0.000000
53.8000 0.000000
54.0000 0.000000
54.2000 0.000000
54.4000 0.000000
54.6000 0.000000
54.8000 0.000000
55.0000 0.000000
55.2000 0.000000
55.4000 0.000000
55.6000 0.000000
55.8000 0.000000
56.0000 0.000000
56.2000 0.000000
56.4000 0.000000
56.6000 0.000000
56.8000 0.000000
57.0000 0.000000
57.2000 0.000000
57.4000 0.000000
57.6000 0.000000
57.8000 0.000000
58.0000 0.000000
58.2000 0.000000
58.4000 0.000000
58.6000 0.000000
58.8000 0.000000
59.0000 0.000000
59.2000 0.000000
59.4000 0.000000
59.6000 0.000000
59.8000 0.000000
60.0000 0.000000
60.2000 0.000000
60.4000 0.000000
60.6000 0.000000
60.8000 0.000000
61.0000 0.000000
61.2000 0.000000
61.4000 0.000000
61.6000 0.000000
61.8000 0.000000
62.0000 0.000000
62.2000 0.000000
62.4000 0.000000
62.6000 0.000000
62.8000 0.000000
63.0000 0.000000
63.2000 0.000000
63.4000 0.000000
63.6000 0.000000
63.8000 0.000000
64.0000 0.000000
64.2000 0.000000
64.4000 0.000000
64.6000 0.000000
64.8000 0.000000
65.0000 0.000000
65.2000 0.000000
65.4000 0.000000
65.6000 0.000000
65.8000 0.000000
66.0000 0.000000
66.2000 0.000000
66.4000 0.000000
66.6000 0.000000
66.8000 0.000000
67.0000 0.000000
67.2000 0.000000
67.4000 0.000000
67.6000 0.000000
67.8000 0.000000
68.0000 0.000000
68.2000 0.000000
68.4000 0.000000
68.6000 0.000000
68.8000 0.000000
69.0000 0.000000
69.2000 0.000000
69.4000 0.000000
69.6000 0.000000
69.8000 0.000000
70.0000 0.000000
70.2000 0.041956
70.4000 0.653054
70.6000 0.959941
70.8000 1.081492
71.0000 1.129332
71.2000 1.149858
71.4000 1.158653
71.6000 1.161298
71.8000 1.160322
72.0000 1.157108
72.2000 1.152549
72.4000 1.147361
72.6000 1.142224
72.8000 1.137784
73.0000 1.134585
73.2000 1.132980
73.4000 1.132936
73.6000 1.133034
73.8000 1.124969
74.0000 1.155407
74.2000 1.209813
74.4000 1.248065
74.6000 1.265856
74.8000 1.273165
75.0000 1.278659
75.2000 1.281434
75.4000 1.299878
75.6000 1.359394
75.8000 1.432341
76.0000 1.476392
76.2000 1.475653
76.4000 1.440097
76.6000 1.388061
76.8000 1.333494
77.0000 1.281968
77.2000 1.232179
77.4000 1.180326
77.6000 1.131504
77.8000 1.095915
78.0000 1.073014
78.2000 1.053593
78.4000 1.030962
78.6000 1.004936
78.8000 0.978715
79.0000 0.955185
79.2000 0.935488
79.4000 0.919283
79.6000 0.905522
79.8000 0.893107
80.0000 0.881263
80.2000 0.869657
80.4000 0.858353
80.6000 0.847693
80.8000 0.838161
81.0000 0.830264
81.2000 0.824449
81.4000 0.821050
81.6000 0.820261
81.8000 0.822125
82.0000 0.826539
82.2000 0.833254
82.4000 0.841894
82.6000 0.851993
82.8000 0.863054
83.0000 0.874621
83.2000 0.886258
83.4000 0.897183
83.6000 0.906780
83.8000 0.918477
84.0000 0.939012
84.2000 0.970489
84.4000 1.006506
84.6000 1.037367
84.8000 1.057164
85.0000 1.065688
85.2000 1.066001
85.4000 1.061625
85.6000 1.055174
85.8000 1.048146
86.0000 1.041193
86.2000 1.034453
86.4000 1.027814
86.6000 1.021101
86.8000 1.014194
87.0000 1.007079
87.2000 0.999864
87.4000 0.992759
87.6000 0.986044
87.8000 0.980040
88.0000 0.975082
88.2000 0.971497
88.4000 0.969585
88.6000 0.969608
88.8000 0.971763
89.0000 0.976156
89.2000 0.982765
89.4000 0.991405
89.6000 1.001706
89.8000 1.013118
90.0000 1.024950
90.2000 1.036449
90.4000 1.046906
90.6000 1.055753
90.8000 1.062635
91.0000 1.067438
91.2000 1.070271
